ProjectID,ProjectName,Description
P01,AI Tutor,An AI-powered tutoring assistant to support student learning and coursework guidance
P02,Campus App,'A mobile app to centralize campus services such as maps, schedules, and notifications'
P03,Sustainability Dashboard,A data dashboard that tracks campus sustainability metrics and energy usage
P04,Health Tracker,A personal health and wellbeing tracking application for students
P05,Smart Parking System,A system that predicts parking availability on campus using sensor data
P06,Study Group Matcher,A platform that automatically matches students into study groups based on courses and interests
P07,Library Seat Finder,A real-time system showing available study spaces in the university library
P08,AI Resume Coach,An AI tool that helps students improve resumes and prepare for job applications
P09,Event Recommendation Engine,A recommendation system for campus events based on student interests
P10,Mental Health Chatbot,A conversational chatbot providing mental health resources and support
P11,Food Waste Tracker,A system that monitors and reduces food waste in campus cafeterias
P12,Course Planner Assistant,An intelligent tool that helps students plan degree pathways and schedules
P13,Research Collaboration Platform,A platform that connects students with research projects and supervisors
P14,Energy Optimization System,A system that analyzes and optimizes energy consumption in campus buildings
P15,Peer Mentorship Network,A digital platform that connects new students with peer mentors
